Species,Season,Reference Period Slope,Post-2020 Period Slope,Slope Difference
Indian Almond-Terminalia catappa,Winter,0.2126923076923076,-0.0784004209418574,-0.291092728634165
Indian Almond-Terminalia catappa,Summer,-0.069780701754386,-0.0334257206208425,0.0363549811335434
Indian Almond-Terminalia catappa,Monsoon,-0.0066409266409266,0.007471264367816,0.0141121910087427
Indian Almond-Terminalia catappa,Post-Monsoon,-0.009917406311637,-0.1307017543859648,-0.1207843480743278
Chandada-Macaranga peltata,Winter,-0.0197115072245258,-0.1099999999999999,-0.0902884927754741
Chandada-Macaranga peltata,Summer,0.0132404745445701,-0.0593406593406593,-0.0725811338852295
Chandada-Macaranga peltata,Monsoon,0.0001374787553007,-0.1007495590828924,-0.1008870378381931
Chandada-Macaranga peltata,Post-Monsoon,0.0157232366358146,-0.0161779575328615,-0.0319011941686761
Mango (all varieties)-Mangifera indica,Winter,0.0339389945470839,-0.027210468386939,-0.061149462934023
Mango (all varieties)-Mangifera indica,Summer,0.0437894852110363,-0.0720266913744578,-0.1158161765854942
Mango (all varieties)-Mangifera indica,Monsoon,0.0207715475793597,-0.0712570151436717,-0.0920285627230315
Mango (all varieties)-Mangifera indica,Post-Monsoon,0.0259509729871304,-0.0610457617499871,-0.0869967347371175
Rain tree-Albizia saman,Winter,0.0056437938842706,0.050620347394541,0.0449765535102703
Rain tree-Albizia saman,Summer,0.01176527810341,0.0174095954171141,0.0056443173137041
Rain tree-Albizia saman,Monsoon,0.0178333220000194,0.0443897099069513,0.0265563879069319
Rain tree-Albizia saman,Post-Monsoon,-0.0154211162455539,0.0383255664470512,0.0537466826926051
Indian Laburnum-Cassia fistula,Winter,0.0075764861956403,-0.0143620364550597,-0.0219385226507
Indian Laburnum-Cassia fistula,Summer,0.0055028051849135,0.0865606237373017,0.0810578185523882
Indian Laburnum-Cassia fistula,Monsoon,0.009492022402784,0.0501400560224088,0.0406480336196247
Indian Laburnum-Cassia fistula,Post-Monsoon,-0.0251234550717829,0.0348684210526315,0.0599918761244144
Jackfruit-Artocarpus heterophyllus,Winter,0.0304160322701763,-0.0774805649516349,-0.1078965972218112
Jackfruit-Artocarpus heterophyllus,Summer,0.0241856995179549,-0.080538121486656,-0.104723821004611
Jackfruit-Artocarpus heterophyllus,Monsoon,0.0169546944445988,-0.0636706527795637,-0.0806253472241626
Jackfruit-Artocarpus heterophyllus,Post-Monsoon,0.0183861881489893,-0.0962011771000534,-0.1145873652490428
Purple Bauhinia-Bauhinia purpurea,Winter,-0.0130537140652454,-0.0095588235294118,0.0034948905358336
Purple Bauhinia-Bauhinia purpurea,Summer,-0.0090681326664982,0.003102443966063,0.0121705766325613
Purple Bauhinia-Bauhinia purpurea,Monsoon,-0.0123708548266881,0.0129001433349259,0.025270998161614
Purple Bauhinia-Bauhinia purpurea,Post-Monsoon,-0.0083465098626691,0.1075581395348836,0.1159046493975528
Teak-Tectona grandis,Winter,-0.009185402011238,-0.1369838665572874,-0.1277984645460493
Teak-Tectona grandis,Summer,-0.0159711375723057,-0.1506403545505305,-0.1346692169782247
Teak-Tectona grandis,Monsoon,-0.0119107828878917,-0.0170446491849751,-0.0051338662970834
