Species,Season,Reference Period Slope,Post-2020 Period Slope,Slope Difference
Indian Almond-Terminalia catappa,Winter,0.21269230769230765,-0.0784004209418574,-0.291092728634165
Indian Almond-Terminalia catappa,Summer,-0.069780701754386,-0.03342572062084259,0.03635498113354341
Indian Almond-Terminalia catappa,Monsoon,-0.006640926640926659,0.007471264367816088,0.014112191008742747
Indian Almond-Terminalia catappa,Post-Monsoon,-0.009917406311637067,-0.13070175438596487,-0.12078434807432781
Chandada-Macaranga peltata,Winter,-0.019711507224525845,-0.10999999999999999,-0.09028849277547414
Chandada-Macaranga peltata,Summer,0.013240474544570162,-0.05934065934065935,-0.07258113388522952
Chandada-Macaranga peltata,Monsoon,0.00013747875530073983,-0.1007495590828924,-0.10088703783819314
Chandada-Macaranga peltata,Post-Monsoon,0.015723236635814625,-0.016177957532861553,-0.03190119416867618
Mango (all varieties)-Mangifera indica,Winter,0.03393899454708398,-0.02721046838693908,-0.06114946293402306
Mango (all varieties)-Mangifera indica,Summer,0.04378948521103639,-0.07202669137445783,-0.11581617658549423
Mango (all varieties)-Mangifera indica,Monsoon,0.020771547579359773,-0.07125701514367178,-0.09202856272303155
Mango (all varieties)-Mangifera indica,Post-Monsoon,0.025950972987130436,-0.0610457617499871,-0.08699673473711753
Rain tree-Albizia saman,Winter,0.005643793884270685,0.05062034739454102,0.044976553510270335
Rain tree-Albizia saman,Summer,0.011765278103410071,0.017409595417114176,0.0056443173137041055
Rain tree-Albizia saman,Monsoon,0.017833322000019438,0.04438970990695135,0.02655638790693191
Rain tree-Albizia saman,Post-Monsoon,-0.01542111624555391,0.03832556644705121,0.053746682692605116
Indian Laburnum-Cassia fistula,Winter,0.007576486195640334,-0.014362036455059735,-0.02193852265070007
Indian Laburnum-Cassia fistula,Summer,0.0055028051849135475,0.08656062373730178,0.08105781855238824
Indian Laburnum-Cassia fistula,Monsoon,0.009492022402784097,0.05014005602240889,0.040648033619624796
Indian Laburnum-Cassia fistula,Post-Monsoon,-0.025123455071782923,0.03486842105263155,0.05999187612441447
