Species,Season,Reference Onset Week (Avg),Post-2020 Onset Week (Avg),Onset Shift (Weeks)
Indian Almond-Terminalia catappa,Winter,1.75,1.0,-0.75
Indian Almond-Terminalia catappa,Summer,10.2,9.666666666666666,-0.5333333333333332
Indian Almond-Terminalia catappa,Monsoon,24.8,23.333333333333332,-1.4666666666666686
Indian Almond-Terminalia catappa,Post-Monsoon,41.0,40.0,-1.0
Chandada-Macaranga peltata,Winter,1.0,1.0,0.0
Chandada-Macaranga peltata,Summer,9.0,9.666666666666666,0.6666666666666661
Chandada-Macaranga peltata,Monsoon,23.166666666666668,23.0,-0.16666666666666785
Chandada-Macaranga peltata,Post-Monsoon,40.0,40.0,0.0
Mango (all varieties)-Mangifera indica,Winter,1.0,1.0,0.0
Mango (all varieties)-Mangifera indica,Summer,9.0,9.666666666666666,0.6666666666666661
Mango (all varieties)-Mangifera indica,Monsoon,23.0,23.0,0.0
Mango (all varieties)-Mangifera indica,Post-Monsoon,40.0,40.0,0.0
Rain tree-Albizia saman,Winter,1.5,1.0,-0.5
Rain tree-Albizia saman,Summer,9.0,9.666666666666666,0.6666666666666661
Rain tree-Albizia saman,Monsoon,23.166666666666668,23.0,-0.16666666666666785
Rain tree-Albizia saman,Post-Monsoon,40.0,40.0,0.0
Indian Laburnum-Cassia fistula,Winter,1.0,1.0,0.0
Indian Laburnum-Cassia fistula,Summer,9.0,9.666666666666666,0.6666666666666661
Indian Laburnum-Cassia fistula,Monsoon,23.0,23.0,0.0
Indian Laburnum-Cassia fistula,Post-Monsoon,40.0,40.0,0.0
Jackfruit-Artocarpus heterophyllus,Winter,1.0,1.0,0.0
Jackfruit-Artocarpus heterophyllus,Summer,9.0,9.666666666666666,0.6666666666666661
Jackfruit-Artocarpus heterophyllus,Monsoon,23.0,23.0,0.0
Jackfruit-Artocarpus heterophyllus,Post-Monsoon,40.0,40.0,0.0
Purple Bauhinia-Bauhinia purpurea,Winter,1.0,1.0,0.0
Purple Bauhinia-Bauhinia purpurea,Summer,9.0,9.666666666666666,0.6666666666666661
Purple Bauhinia-Bauhinia purpurea,Monsoon,23.0,23.0,0.0
Purple Bauhinia-Bauhinia purpurea,Post-Monsoon,40.0,40.0,0.0
Teak-Tectona grandis,Winter,1.0,1.0,0.0
Teak-Tectona grandis,Summer,9.0,9.666666666666666,0.6666666666666661
Teak-Tectona grandis,Monsoon,23.0,23.0,0.0
Teak-Tectona grandis,Post-Monsoon,40.0,40.0,0.0
Tamarind-Tamarindus indica,Winter,1.0,1.0,0.0
Tamarind-Tamarindus indica,Summer,9.0,9.666666666666666,0.6666666666666661
Tamarind-Tamarindus indica,Monsoon,23.0,23.0,0.0
Tamarind-Tamarindus indica,Post-Monsoon,40.0,40.0,0.0
Chiku Sapodilla-Manilkara zapota,Winter,2.0,1.0,-1.0
Chiku Sapodilla-Manilkara zapota,Summer,9.0,9.666666666666666,0.6666666666666661
Chiku Sapodilla-Manilkara zapota,Monsoon,23.333333333333332,23.0,-0.33333333333333215
Chiku Sapodilla-Manilkara zapota,Post-Monsoon,40.0,40.0,0.0
Amla-Phyllanthus emblica,Winter,1.0,1.0,0.0
Amla-Phyllanthus emblica,Summer,9.0,9.666666666666666,0.6666666666666661
Amla-Phyllanthus emblica,Monsoon,23.0,23.0,0.0
Amla-Phyllanthus emblica,Post-Monsoon,40.0,40.0,0.0
Gulmohur-Delonix regia,Winter,1.0,1.0,0.0
Gulmohur-Delonix regia,Summer,9.0,9.666666666666666,0.6666666666666661
Gulmohur-Delonix regia,Monsoon,23.5,23.0,-0.5
Gulmohur-Delonix regia,Post-Monsoon,40.0,40.0,0.0
Coconut palm-Cocos nucifera,Winter,1.0,1.0,0.0
Coconut palm-Cocos nucifera,Summer,11.75,9.666666666666666,-2.083333333333334
Coconut palm-Cocos nucifera,Monsoon,25.5,23.0,-2.5
Coconut palm-Cocos nucifera,Post-Monsoon,40.0,40.0,0.0
Gamar-Gmelina arborea,Winter,1.0,1.0,0.0
