Species,Season,Reference Onset Week (Avg),Post-2020 Onset Week (Avg),Onset Shift (Weeks)
Indian Almond-Terminalia catappa,Winter,1.0,1.0,0.0
Indian Almond-Terminalia catappa,Summer,10.0,10.0,0.0
Indian Almond-Terminalia catappa,Monsoon,23.333333333333332,23.333333333333332,0.0
Indian Almond-Terminalia catappa,Post-Monsoon,40.0,40.0,0.0
Chandada-Macaranga peltata,Winter,1.0,1.0,0.0
Chandada-Macaranga peltata,Summer,9.0,9.666666666666666,0.6666666666666661
Chandada-Macaranga peltata,Monsoon,23.166666666666668,23.333333333333332,0.1666666666666643
Chandada-Macaranga peltata,Post-Monsoon,40.0,41.0,1.0
Mango (all varieties)-Mangifera indica,Winter,1.0,1.0,0.0
Mango (all varieties)-Mangifera indica,Summer,9.0,9.666666666666666,0.6666666666666661
Mango (all varieties)-Mangifera indica,Monsoon,23.0,23.0,0.0
Mango (all varieties)-Mangifera indica,Post-Monsoon,40.0,40.0,0.0
Rain tree-Albizia saman,Winter,1.5,1.0,-0.5
Rain tree-Albizia saman,Summer,9.0,9.666666666666666,0.6666666666666661
Rain tree-Albizia saman,Monsoon,23.166666666666668,23.0,-0.16666666666666785
Rain tree-Albizia saman,Post-Monsoon,40.0,40.0,0.0
Indian Laburnum-Cassia fistula,Winter,1.0,1.0,0.0
Indian Laburnum-Cassia fistula,Summer,9.0,9.666666666666666,0.6666666666666661
Indian Laburnum-Cassia fistula,Monsoon,23.0,23.0,0.0
Indian Laburnum-Cassia fistula,Post-Monsoon,40.0,40.0,0.0
Jackfruit-Artocarpus heterophyllus,Winter,1.0,1.0,0.0
Jackfruit-Artocarpus heterophyllus,Summer,9.0,9.666666666666666,0.6666666666666661
Jackfruit-Artocarpus heterophyllus,Monsoon,23.0,23.0,0.0
Jackfruit-Artocarpus heterophyllus,Post-Monsoon,40.0,40.0,0.0
Purple Bauhinia-Bauhinia purpurea,Winter,1.0,1.0,0.0
Purple Bauhinia-Bauhinia purpurea,Summer,9.0,9.666666666666666,0.6666666666666661
Purple Bauhinia-Bauhinia purpurea,Monsoon,23.0,23.0,0.0
Purple Bauhinia-Bauhinia purpurea,Post-Monsoon,40.0,40.0,0.0
Teak-Tectona grandis,Winter,1.0,1.0,0.0
Teak-Tectona grandis,Summer,9.0,9.666666666666666,0.6666666666666661
Teak-Tectona grandis,Monsoon,23.0,23.0,0.0
Teak-Tectona grandis,Post-Monsoon,40.0,40.0,0.0
Tamarind-Tamarindus indica,Winter,1.0,1.0,0.0
Tamarind-Tamarindus indica,Summer,9.0,9.666666666666666,0.6666666666666661
Tamarind-Tamarindus indica,Monsoon,23.0,23.0,0.0
Tamarind-Tamarindus indica,Post-Monsoon,40.0,40.0,0.0
Chiku Sapodilla-Manilkara zapota,Winter,2.0,1.0,-1.0
Chiku Sapodilla-Manilkara zapota,Summer,9.0,9.666666666666666,0.6666666666666661
Chiku Sapodilla-Manilkara zapota,Monsoon,23.333333333333332,23.0,-0.33333333333333215
Chiku Sapodilla-Manilkara zapota,Post-Monsoon,40.0,40.0,0.0
Amla-Phyllanthus emblica,Winter,1.0,1.0,0.0
Amla-Phyllanthus emblica,Summer,9.0,9.666666666666666,0.6666666666666661
Amla-Phyllanthus emblica,Monsoon,23.0,23.0,0.0
Amla-Phyllanthus emblica,Post-Monsoon,40.0,40.0,0.0
Gulmohur-Delonix regia,Winter,1.0,1.0,0.0
Gulmohur-Delonix regia,Summer,9.0,9.666666666666666,0.6666666666666661
Gulmohur-Delonix regia,Monsoon,23.666666666666668,23.0,-0.6666666666666679
Gulmohur-Delonix regia,Post-Monsoon,40.0,40.0,0.0
Gamar-Gmelina arborea,Winter,1.0,1.0,0.0
Gamar-Gmelina arborea,Summer,9.333333333333334,9.666666666666666,0.33333333333333215
Gamar-Gmelina arborea,Monsoon,23.333333333333332,23.0,-0.33333333333333215
Gamar-Gmelina arborea,Post-Monsoon,40.0,41.333333333333336,1.3333333333333357
Devil's Tree-Alstonia scholaris,Winter,1.0,1.0,0.0
Devil's Tree-Alstonia scholaris,Summer,9.0,9.666666666666666,0.6666666666666661
Devil's Tree-Alstonia scholaris,Monsoon,23.166666666666668,23.333333333333332,0.1666666666666643
Devil's Tree-Alstonia scholaris,Post-Monsoon,40.0,40.0,0.0
Indian Coral-Erythrina indica,Winter,1.0,1.0,0.0
Indian Coral-Erythrina indica,Summer,9.0,9.666666666666666,0.6666666666666661
Indian Coral-Erythrina indica,Monsoon,23.333333333333332,23.0,-0.33333333333333215
Indian Coral-Erythrina indica,Post-Monsoon,40.0,41.0,1.0
Peepal-Ficus religiosa,Winter,1.0,1.0,0.0
Peepal-Ficus religiosa,Summer,9.0,9.666666666666666,0.6666666666666661
Peepal-Ficus religiosa,Monsoon,23.166666666666668,23.0,-0.16666666666666785
Peepal-Ficus religiosa,Post-Monsoon,40.0,40.0,0.0
