Lat,Long,Species_name,State_name,Avg_Leaves_fresh_pre_2020,Avg_Flowers_bud_pre_2020,Avg_Fruits_ripe_pre_2020,Avg_Leaves_fresh_post_2020,Avg_Flowers_bud_post_2020,Avg_Fruits_ripe_post_2020,Change_Leaves_fresh,Change_Flowers_bud,Change_Fruits_ripe
8.33931,77.05009,Indian Laburnum-Cassia fistula,Kerala,1.0,0.0,0.0,,,,,,
8.33931,77.05009,Jackfruit-Artocarpus heterophyllus,Kerala,1.2857142857142858,-0.47619047619047616,0.7619047619047619,,,,,,
8.33931,77.05009,Mango (all varieties)-Mangifera indica,Kerala,1.0,0.0,0.0,,,,,,
8.33931,77.05009,Maulsari-Mimusops elengi,Kerala,1.0,0.0,0.0,,,,,,
8.33931,77.05009,Neem-Azadirachta indica,Kerala,1.0454545454545454,-0.18181818181818182,0.0,,,,,,
8.33931,77.05009,Peepal-Ficus religiosa,Kerala,0.5,-2.0,0.0,,,,,,
8.33931,77.05009,Purple Bauhinia-Bauhinia purpurea,Kerala,1.0,0.8,0.0,,,,,,
8.33931,77.05009,Quickstick-Gliricidia sepium,Kerala,1.0,0.0,0.0,,,,,,
8.33931,77.05009,Rain tree-Albizia saman,Kerala,1.0,0.0,0.0,,,,,,
8.33931,77.05009,Tamarind-Tamarindus indica,Kerala,1.3333333333333333,0.0,0.0,,,,,,
8.33931,77.05009,Teak-Tectona grandis,Kerala,1.0,1.0,0.16666666666666666,,,,,,
8.33931,77.05009,True Ashoka-Saraca asoca,Kerala,1.0,-1.0,0.0,,,,,,
8.33958,77.05751,Coconut palm-Cocos nucifera,Kerala,1.0,1.0,2.0,,,,,,
8.33958,77.06217,Maulsari-Mimusops elengi,Kerala,1.0,0.0,0.0,,,,,,
8.33958,77.06217,Neem-Azadirachta indica,Kerala,1.0,0.0,0.0,,,,,,
8.33958,77.06217,Peepal-Ficus religiosa,Kerala,1.0,-2.0,0.0,,,,,,
8.33985,77.05753,Coconut palm-Cocos nucifera,Kerala,0.6666666666666666,0.5,1.5,,,,,,
8.33985,77.05753,Drumstick tree-Moringa oleifera,Kerala,1.0,0.0,0.0,,,,,,
8.33985,77.05753,Neem-Azadirachta indica,Kerala,1.5,0.5,0.5,,,,,,
8.33985,77.05753,Peepal-Ficus religiosa,Kerala,1.0,-2.0,0.0,,,,,,
8.33998,77.13518,Neem-Azadirachta indica,Kerala,1.0952380952380953,0.0,0.0,1.0,0.0,0.0,-0.09523809523809534,0.0,0.0
8.34,77.11184,Jackfruit-Artocarpus heterophyllus,Kerala,2.0,2.0,2.0,,,,,,
8.34003,77.06274,Amla-Phyllanthus emblica,Kerala,2.0,0.0,0.0,,,,,,
8.34003,77.06274,Gulmohur-Delonix regia,Kerala,1.0,2.0,1.0,,,,,,
8.34003,77.06274,Jamun-Syzygium cumini,Kerala,1.6666666666666667,0.0,0.0,,,,,,
8.34028,77.05463,Neem-Azadirachta indica,Kerala,1.0,0.0,0.0,,,,,,
8.34037,77.04415,Coconut palm-Cocos nucifera,Kerala,1.0,0.0,1.0,,,,,,
8.34037,77.04415,Devil's Tree-Alstonia scholaris,Kerala,1.0,0.0,-2.0,,,,,,
8.34037,77.04415,Guava tree-Psidium guajava,Kerala,1.0,1.0,0.0,,,,,,
8.34037,77.04415,Indian Laburnum-Cassia fistula,Kerala,1.0,1.0,1.0,,,,,,
8.34037,77.04415,Jackfruit-Artocarpus heterophyllus,Kerala,0.5,0.0,0.0,,,,,,
8.34037,77.04415,Peepal-Ficus religiosa,Kerala,1.0,-2.0,0.0,,,,,,
8.34037,77.04415,Teak-Tectona grandis,Kerala,1.0,1.0,0.0,,,,,,
8.34066,77.03906,Drumstick tree-Moringa oleifera,Kerala,1.0,0.4782608695652174,0.0,,,,,,
8.34066,77.03906,Guava tree-Psidium guajava,Kerala,1.0,0.4090909090909091,0.18181818181818182,,,,,,
8.34075,77.06599,Amla-Phyllanthus emblica,Kerala,0.9444444444444444,0.5555555555555556,0.5,1.0,0.21739130434782608,0.0,0.05555555555555558,-0.3381642512077295,-0.5
8.34075,77.06599,Chiku Sapodilla-Manilkara zapota,Kerala,1.3333333333333333,1.25,1.3333333333333333,,,,,,
8.34075,77.06599,Coconut palm-Cocos nucifera,Kerala,1.125,1.0528169014084507,1.0202464788732395,1.0,1.1720430107526882,0.8530465949820788,-0.125,0.1192261093442375,-0.1671998838911607
8.34075,77.06599,Country Fig-Ficus racemosa,Kerala,0.8,-0.8,0.6,,,,,,
8.34075,77.06599,Custard apple-Annona squamosa,Kerala,1.6428571428571428,1.2857142857142858,1.0,1.0,0.5555555555555556,0.3333333333333333,-0.6428571428571428,-0.7301587301587302,-0.6666666666666667
8.34075,77.06599,Drumstick tree-Moringa oleifera,Kerala,1.103448275862069,0.8620689655172413,0.13793103448275862,,,,,,
8.34075,77.06599,Guava tree-Psidium guajava,Kerala,1.0454545454545454,0.7424242424242424,0.3787878787878788,1.0,1.0,0.6,-0.045454545454545414,0.25757575757575757,0.2212121212121212
8.34075,77.06599,Indian Laburnum-Cassia fistula,Kerala,1.8,0.4,0.8,,,,,,
8.34075,77.06599,Jackfruit-Artocarpus heterophyllus,Kerala,1.2840909090909092,0.9431818181818182,0.7386363636363636,1.0,0.5405405405405406,0.12162162162162163,-0.28409090909090917,-0.40264127764127766,-0.617014742014742
8.34075,77.06599,Mango (all varieties)-Mangifera indica,Kerala,1.1428571428571428,0.8131868131868132,0.5494505494505495,1.1818181818181819,0.5909090909090909,0.11363636363636363,0.038961038961039085,-0.22227772227772225,-0.43581418581418585
8.34075,77.06599,Maulsari-Mimusops elengi,Kerala,1.0,1.0,0.0,,,,,,
8.34075,77.06599,Neem-Azadirachta indica,Kerala,1.25,0.0,0.0,,,,,,
8.34075,77.06599,Purple Bauhinia-Bauhinia purpurea,Kerala,2.0,0.0,0.0,,,,,,
8.34075,77.06599,Quickstick-Gliricidia sepium,Kerala,1.6,0.0,0.0,,,,,,
8.34075,77.06599,Teak-Tectona grandis,Kerala,1.0,0.6666666666666666,0.0,,,,,,
8.34075,77.06599,True Ashoka-Saraca asoca,Kerala,2.0,1.5,-1.0,,,,,,
8.34075,77.06599,Wood Apple-Aegle marmelos,Kerala,1.0,0.0,0.0,,,,,,
8.34114,77.06067,Coconut palm-Cocos nucifera,Kerala,0.0,0.0,2.0,,,,,,
8.34114,77.06067,Gulmohur-Delonix regia,Kerala,1.0,2.0,1.0,,,,,,
8.34115,77.05687,Coconut palm-Cocos nucifera,Kerala,1.0,1.0,2.0,,,,,,
8.34115,77.05687,Custard apple-Annona squamosa,Kerala,1.0,0.0,1.0,,,,,,
8.34122,77.06345,Coconut palm-Cocos nucifera,Kerala,1.0,1.0,1.0,,,,,,
8.34126,77.0682,Coconut palm-Cocos nucifera,Kerala,2.0,1.0,0.5,,,,,,
8.34126,77.0682,Custard apple-Annona squamosa,Kerala,1.0,1.0,0.5,,,,,,
8.34126,77.0682,Devil's Tree-Alstonia scholaris,Kerala,2.0,1.0,0.0,,,,,,
8.34126,77.0682,Mango (all varieties)-Mangifera indica,Kerala,1.0,2.0,0.0,,,,,,
8.34187,77.04894,Amla-Phyllanthus emblica,Kerala,1.0,-1.3333333333333333,-1.3333333333333333,,,,,,
8.34187,77.04894,Chandada-Macaranga peltata,Kerala,1.0,0.0,-2.0,,,,,,
8.34187,77.04894,Chiku Sapodilla-Manilkara zapota,Kerala,1.0,0.3333333333333333,0.0,,,,,,
8.34187,77.04894,Coconut palm-Cocos nucifera,Kerala,0.9444444444444444,0.2222222222222222,1.2222222222222223,,,,,,
8.34187,77.04894,Custard apple-Annona squamosa,Kerala,0.625,0.0,0.0,,,,,,
8.34187,77.04894,Drumstick tree-Moringa oleifera,Kerala,1.0,0.0,1.0,,,,,,
8.34187,77.04894,Guava tree-Psidium guajava,Kerala,2.0,0.0,0.0,,,,,,
8.34187,77.04894,Gulmohur-Delonix regia,Kerala,1.0,1.0,0.5,,,,,,
8.34187,77.04894,Indian Laburnum-Cassia fistula,Kerala,1.2,0.2,0.0,,,,,,
8.34187,77.04894,Jackfruit-Artocarpus heterophyllus,Kerala,1.1,-1.2,0.0,,,,,,
8.34187,77.04894,Mango (all varieties)-Mangifera indica,Kerala,1.3333333333333333,-0.3333333333333333,0.16666666666666666,,,,,,
8.34187,77.04894,Maulsari-Mimusops elengi,Kerala,1.0,0.0,0.0,,,,,,
8.34187,77.04894,Neem-Azadirachta indica,Kerala,1.0,-0.13333333333333333,-0.13333333333333333,,,,,,
8.34187,77.04894,Peepal-Ficus religiosa,Kerala,0.4,-2.0,0.0,,,,,,
8.34187,77.04894,Purple Bauhinia-Bauhinia purpurea,Kerala,1.0,-0.25,0.0,,,,,,
8.34187,77.04894,Quickstick-Gliricidia sepium,Kerala,1.0,0.0,0.0,,,,,,
8.34187,77.04894,Rain tree-Albizia saman,Kerala,1.0,0.0,0.0,,,,,,
8.34187,77.04894,Tamarind-Tamarindus indica,Kerala,1.0,0.0,0.0,,,,,,
8.34187,77.04894,Teak-Tectona grandis,Kerala,0.0,0.4,-0.4,,,,,,
8.34187,77.04894,True Ashoka-Saraca asoca,Kerala,1.0,0.0,0.0,,,,,,
8.34233,77.06114,Coconut palm-Cocos nucifera,Kerala,1.0,0.0,0.0,,,,,,
8.34233,77.06114,Custard apple-Annona squamosa,Kerala,1.0,1.0,1.0,,,,,,
8.34233,77.06114,Jackfruit-Artocarpus heterophyllus,Kerala,1.0,0.0,0.0,,,,,,
8.34272,77.06756,Coconut palm-Cocos nucifera,Kerala,1.0,1.0,1.0,,,,,,
8.34321,77.05285,Amla-Phyllanthus emblica,Kerala,0.9386792452830188,0.4088050314465409,0.449685534591195,1.0,0.312280701754386,0.03859649122807018,0.061320754716981174,-0.09652432969215491,-0.4110890433631248
8.34321,77.05285,Chandada-Macaranga peltata,Kerala,0.9696969696969697,0.36363636363636365,0.3939393939393939,1.0,0.0,0.0,0.030303030303030276,-0.36363636363636365,-0.3939393939393939
8.34321,77.05285,Coconut palm-Cocos nucifera,Kerala,1.3333333333333333,1.0,1.3333333333333333,,,,,,
8.34321,77.05285,Country Fig-Ficus racemosa,Kerala,1.0638297872340425,0.07092198581560284,0.8014184397163121,1.0,-1.480427046263345,0.8825622775800712,-0.06382978723404253,-1.551349032078948,0.08114383786375912
8.34321,77.05285,Devil's Tree-Alstonia scholaris,Kerala,1.0789473684210527,0.23684210526315788,0.23684210526315788,1.0,0.5409836065573771,0.47540983606557374,-0.07894736842105265,0.30414150129421924,0.23856773080241586
8.34321,77.05285,Gamar-Gmelina arborea,Kerala,1.25,0.9444444444444444,0.7777777777777778,1.0,0.8,0.8,-0.25,-0.14444444444444438,0.022222222222222254
8.34321,77.05285,Gulmohur-Delonix regia,Kerala,1.1891891891891893,1.337837837837838,0.722972972972973,1.0,1.467153284671533,1.0875912408759123,-0.18918918918918926,0.129315446833695,0.3646182679029393
8.34321,77.05285,Indian Coral-Erythrina indica,Kerala,1.16,1.07,0.65,1.0,0.9444444444444444,0.9444444444444444,-0.15999999999999992,-0.12555555555555564,0.2944444444444444
8.34321,77.05285,Indian Laburnum-Cassia fistula,Kerala,1.0128205128205128,0.21794871794871795,0.30128205128205127,1.0,0.4375,0.625,-0.012820512820512775,0.21955128205128205,0.32371794871794873
8.34321,77.05285,Jackfruit-Artocarpus heterophyllus,Kerala,1.0443076923076924,0.6153846153846154,0.31384615384615383,1.0011737089201878,0.5328638497652582,0.08685446009389672,-0.043133983387504626,-0.08252076561935717,-0.2269916937522571
8.34321,77.05285,Jamun-Syzygium cumini,Kerala,0.9291530944625407,0.2752442996742671,0.17019543973941367,1.0,0.32167832167832167,0.03636363636363636,0.07084690553745931,0.046434022004054554,-0.13383180337577733
8.34321,77.05285,Mango (all varieties)-Mangifera indica,Kerala,0.9991896272285251,0.7439222042139384,0.23987034035656402,1.053639846743295,0.7126436781609196,0.10727969348659004,0.054450219514769915,-0.03127852605301884,-0.13259064686997396
8.34321,77.05285,Maulsari-Mimusops elengi,Kerala,0.7271438695960312,0.5882352941176471,0.5903614457831325,1.0,0.8107798165137615,0.8084862385321101,0.27285613040396883,0.22254452239611444,0.21812479274897756
8.34321,77.05285,Neem-Azadirachta indica,Kerala,1.2,0.0,0.0,1.0,0.0,0.0,-0.19999999999999996,0.0,0.0
8.34321,77.05285,Peepal-Ficus religiosa,Kerala,1.1724137931034482,-1.0229885057471264,0.4942528735632184,1.0,-1.6161616161616161,0.48484848484848486,-0.17241379310344818,-0.5931731104144897,-0.009404388714733536
8.34321,77.05285,Pongam Tree-Pongamia pinnata,Kerala,1.2222222222222223,0.42592592592592593,0.2777777777777778,1.0,0.7428571428571429,0.6285714285714286,-0.22222222222222232,0.31693121693121695,0.35079365079365077
8.34321,77.05285,Pride of India-Lagerstroemia speciosa,Kerala,1.2,1.0842105263157895,0.9473684210526315,1.0,1.032258064516129,0.9758064516129032,-0.19999999999999996,-0.05195246179966051,0.02843803056027172
8.34321,77.05285,Purple Bauhinia-Bauhinia purpurea,Kerala,1.162162162162162,1.135135135135135,0.7567567567567568,1.0,1.0,1.0,-0.16216216216216206,-0.1351351351351351,0.2432432432432432
8.34321,77.05285,Rain tree-Albizia saman,Kerala,0.9611111111111111,0.5055555555555555,0.43333333333333335,1.0,1.0701754385964912,1.0116959064327486,0.03888888888888886,0.5646198830409357,0.5783625730994153
8.34321,77.05285,Red Silk Cotton-Bombax ceiba,Kerala,1.203125,0.6875,0.46875,1.0,0.9411764705882353,0.9411764705882353,-0.203125,0.2536764705882353,0.4724264705882353
8.34321,77.05285,Tamarind-Tamarindus indica,Kerala,0.9904761904761905,0.4380952380952381,0.3838095238095238,1.0578034682080926,0.4658959537572254,0.5514450867052023,0.06732727773190206,0.02780071566198733,0.1676355628956785
8.34321,77.05285,Teak-Tectona grandis,Kerala,0.8173913043478261,0.9304347826086956,0.7478260869565218,1.0,1.4880952380952381,1.5238095238095237,0.18260869565217386,0.5576604554865425,0.775983436853002
8.34321,77.05285,True Ashoka-Saraca asoca,Kerala,1.1294117647058823,0.6705882352941176,0.43529411764705883,1.1090909090909091,0.5454545454545454,0.5272727272727272,-0.02032085561497321,-0.12513368983957218,0.0919786096256684
8.34321,77.05285,Wood Apple-Aegle marmelos,Kerala,1.1403508771929824,0.5350877192982456,0.5087719298245614,1.0,0.38333333333333336,0.31666666666666665,-0.14035087719298245,-0.15175438596491225,-0.19210526315789478
8.34323,77.05283,Coconut palm-Cocos nucifera,Kerala,1.0294117647058822,0.9705882352941176,0.9117647058823529,,,,,,
8.34323,77.05283,Mango (all varieties)-Mangifera indica,Kerala,1.096774193548387,0.5161290322580645,0.06451612903225806,1.0,0.8,0.0,-0.09677419354838701,0.28387096774193554,-0.06451612903225806
