Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open
Amla-Phyllanthus emblica,1.2128168340506935,1.8230511716881874,0.8350071736011477,0.45576279292204686,0.3161166905786705,0.0,0.0,0.5074127211860354,0.27068388330942134,0.0
Chandada-Macaranga peltata,1.0827943078913325,1.92496765847348,0.9922380336351876,0.4424320827943079,0.3428201811125485,0.0,0.0,0.36093143596377747,0.2664941785252264,0.2147477360931436
Chiku Sapodilla-Manilkara zapota,1.2662721893491125,1.7396449704142012,0.8030431107354185,0.8732037193575655,0.7125950972104819,0.0,0.0,1.1859678782755705,0.5629754860524091,0.0
Coconut palm-Cocos nucifera,1.1469920544835415,1.6424517593643586,0.7809307604994324,1.0629965947786606,0.9960272417707151,0.0,0.0,1.3223609534619751,1.050510783200908,0.0
Country Fig-Ficus racemosa,1.2379248658318425,1.9373881932021466,0.9159212880143113,0.0,0.0,0.0,0.0,1.4132379248658318,0.8085867620751341,0.0
Custard apple-Annona squamosa,1.3364102564102565,1.5261538461538462,0.7394871794871795,0.6707692307692308,0.5302564102564102,0.0,0.0,0.7415384615384616,0.4502564102564103,0.0
Devil's Tree-Alstonia scholaris,1.1509635974304069,1.9400428265524625,0.8533190578158458,0.5010706638115632,0.32548179871520344,0.0,0.0,0.4443254817987152,0.3576017130620985,0.23126338329764454
Drumstick tree-Moringa oleifera,1.2069425901201603,1.7249666221628839,0.8264352469959947,0.5340453938584779,0.4552736982643525,0.0,0.0,0.3951935914552737,0.24299065420560748,0.0
Gamar-Gmelina arborea,1.0656660412757974,1.896810506566604,0.9343339587242027,0.29831144465290804,0.2270168855534709,0.0,0.0,0.20637898686679174,0.1425891181988743,0.0
Guava tree-Psidium guajava,1.2821612349914238,1.6419382504288165,0.8207547169811321,0.5913379073756432,0.5287307032590052,0.0038593481989708405,0.0047169811320754715,0.9391080617495712,0.5287307032590052,0.0
Gulmohur-Delonix regia,0.9962264150943396,1.649056603773585,0.7962264150943397,0.5660377358490566,0.5366037735849056,0.0,0.0,0.5215094339622641,0.4249056603773585,0.2641509433962264
Indian Almond-Terminalia catappa,1.1069012178619757,1.9039242219215156,0.7889039242219216,0.8890392422192152,0.8606224627875507,0.0,0.0,1.0920162381596752,0.3491204330175913,0.0
Indian Coral-Erythrina indica,1.107981220657277,1.5422535211267605,0.7253521126760564,0.8075117370892019,0.5774647887323944,0.0,0.0,0.7323943661971831,0.6384976525821596,0.4154929577464789
Indian Laburnum-Cassia fistula,1.0560983296564765,1.7324298770879294,0.7522849038764576,0.7721399306649858,0.6719193192562244,0.0,0.0,0.7150961235423889,0.584620233217775,0.0
Jackfruit-Artocarpus heterophyllus,1.2536933265410086,1.8410596026490067,0.8992613346917983,0.6558838512480897,0.0011462047885888945,0.6001018848700967,0.4577177789098319,0.9397605705552725,0.48115129903209375,0.0
Jamun-Syzygium cumini,1.174802110817942,1.904353562005277,0.9201846965699209,0.5646437994722955,0.43535620052770446,0.0,0.0,0.5072559366754618,0.2783641160949868,0.0
Mango (all varieties)-Mangifera indica,1.1280704877180492,1.8225347098611606,0.8106977572089712,0.5775186899252402,0.502313990744037,0.0,0.0,0.6420434318262727,0.3422926308294767,0.0
Maulsari-Mimusops elengi,1.2832832832832832,1.942942942942943,0.943943943943944,1.033033033033033,0.7867867867867868,0.0,0.0,1.06006006006006,0.7707707707707707,0.0
Neem-Azadirachta indica,1.2049492385786802,1.6383248730964468,0.758248730964467,0.23223350253807107,0.19860406091370558,0.0,0.0,0.13642131979695432,0.09898477157360407,0.0
Peepal-Ficus religiosa,1.169632265717675,1.9027283511269277,0.7983392645314353,0.0,0.0,0.0,0.0,0.6215895610913404,0.3867141162514828,0.0
Pongam Tree-Pongamia pinnata,1.0910746812386156,1.9162112932604736,0.9052823315118397,0.3442622950819672,0.29508196721311475,0.0,0.0,0.3460837887067395,0.2987249544626594,0.0
Pride of India-Lagerstroemia speciosa,1.0705882352941176,1.8676470588235294,0.8088235294117647,0.8058823529411765,0.5970588235294118,0.0,0.0,0.9794117647058823,0.8029411764705883,0.6205882352941177
Purple Bauhinia-Bauhinia purpurea,1.1137380191693291,1.7712460063897764,0.8038338658146965,0.921405750798722,0.8057507987220447,0.0,0.0,0.729073482428115,0.6121405750798722,0.37124600638977634
Quickstick-Gliricidia sepium,1.0419254658385093,1.9254658385093169,0.8214285714285714,0.39906832298136646,0.2996894409937888,0.0,0.0,0.21894409937888198,0.12888198757763975,0.06521739130434782
Rain tree-Albizia saman,1.2623679822123401,1.8977209560867148,0.8810450250138966,1.1489716509171761,0.90550305725403,0.0,0.0,0.8760422456920511,0.45969983324068925,0.0
Red Silk Cotton-Bombax ceiba,1.1382536382536383,1.5956340956340955,0.6923076923076923,0.6808731808731808,0.4293139293139293,0.0,0.0,0.4708939708939709,0.4521829521829522,0.23596673596673598
Tamarind-Tamarindus indica,1.16366258111031,1.788031723143475,0.9026676279740447,0.46467195385724586,0.4441240086517664,0.0,0.0,0.8165104542177362,0.5497476568132661,0.0
Teak-Tectona grandis,1.0974284679463961,1.7185802245563202,0.8435349511046722,0.7892068091271278,0.7178558493299529,0.0,0.0,0.6544730170228178,0.5552336110105034,0.0
True Ashoka-Saraca asoca,1.124311565696302,1.926042486231314,0.8033044846577498,0.9087332808811959,0.7859952793076318,0.0,0.0,0.7427222659323367,0.6585365853658537,0.34697088906372936
Wood Apple-Aegle marmelos,1.538808664259928,1.934115523465704,0.9160649819494585,1.2716606498194947,0.7897111913357401,0.0,0.0,1.461191335740072,0.8366425992779783,0.0
