Species_name,State_name,Leaves_fresh,Flowers_bud,Fruits_ripe,Total_Leaves_fresh,Total_Flowers_bud,Total_Fruits_ripe
Amla-Phyllanthus emblica,Kerala,1.1636616615455968,0.4318511218041626,0.3626297176647922,17249,17249,17249
Chandada-Macaranga peltata,Kerala,1.0865152860586071,0.379424077127997,0.22212355702143854,7883,7883,7883
Chiku Sapodilla-Manilkara zapota,Kerala,1.2148394241417497,0.7782392026578073,0.6506090808416389,3612,3612,3612
Coconut palm-Cocos nucifera,Kerala,1.0497280497280497,1.060464787737515,1.0288903016175743,14157,14157,14157
Country Fig-Ficus racemosa,Kerala,1.1991446137396418,0.6046511627906976,0.8190323442929698,3741,3741,3741
Custard apple-Annona squamosa,Kerala,1.1667488899851999,0.6369018253576715,0.4501726689689196,4054,4054,4054
Devil's Tree-Alstonia scholaris,Kerala,1.1841187863137508,0.49283408650742416,0.3327307940606843,7745,7745,7745
Drumstick tree-Moringa oleifera,Kerala,1.1410859341598973,0.6314664386489953,0.22851646002565199,4678,4678,4678
Gamar-Gmelina arborea,Kerala,1.1282209853638425,0.24118738404452691,0.14079571222428366,4851,4851,4851
Guava tree-Psidium guajava,Kerala,1.2302405498281788,0.6085223367697594,0.49237113402061855,7275,7275,7275
Gulmohur-Delonix regia,Kerala,1.081461311549807,0.6670070342636715,0.48445654640344904,8814,8814,8814
Indian Almond-Terminalia catappa,Kerala,1.1522577717267983,0.820739732244157,0.2965736328568187,4407,4407,4407
Indian Coral-Erythrina indica,Kerala,1.0077857365306757,0.6764247897851137,0.4867642478978511,3211,3211,3211
Indian Laburnum-Cassia fistula,Kerala,0.9936468187720274,0.6803468744203301,0.48803561491374514,21564,21564,21564
Jackfruit-Artocarpus heterophyllus,Kerala,1.1132145607094497,0.6151395268565967,0.4489021055146961,75326,75326,75326
Jamun-Syzygium cumini,Kerala,1.1229960078575503,0.4037133261517014,0.2625308915784805,15781,15781,15781
Mango (all varieties)-Mangifera indica,Kerala,0.9673713931547414,0.5509262447489842,0.31515735830865643,72605,72605,72605
Maulsari-Mimusops elengi,Kerala,1.0520841667333387,0.8099047923833906,0.6454116329306344,12499,12499,12499
Neem-Azadirachta indica,Kerala,1.1792090395480226,0.1896045197740113,0.11468926553672316,8850,8850,8850
Peepal-Ficus religiosa,Kerala,1.1191304347826088,0.2142608695652174,0.25043478260869567,5750,5750,5750
Pongam Tree-Pongamia pinnata,Kerala,1.0586656441717792,0.30099693251533743,0.2356211656441718,5216,5216,5216
Pride of India-Lagerstroemia speciosa,Kerala,1.1036942675159236,0.7773248407643312,0.793375796178344,3925,3925,3925
Purple Bauhinia-Bauhinia purpurea,Kerala,1.0413468680366427,0.9103738549145828,0.547412725922258,12117,12117,12117
Quickstick-Gliricidia sepium,Kerala,0.9909267660401815,0.5162022034996759,0.12767336357744652,3086,3086,3086
Rain tree-Albizia saman,Kerala,1.1894493290143453,0.946321147616844,0.43396575659416936,10805,10805,10805
Red Silk Cotton-Bombax ceiba,Kerala,0.976595355640885,0.6655695739623332,0.4615103309562991,5469,5469,5469
Tamarind-Tamarindus indica,Kerala,1.0536687287475932,0.4497931090991028,0.5938793068130608,24409,24409,24409
Teak-Tectona grandis,Kerala,1.0412014536538376,0.5977494636367616,0.4749332282499234,22839,22839,22839
True Ashoka-Saraca asoca,Kerala,1.0960058629534628,0.8209356296567729,0.39122999877855136,8187,8187,8187
Wood Apple-Aegle marmelos,Kerala,1.3439161252215004,0.8461311281748376,0.7108682811577082,6772,6772,6772
