State_name,Phenophase,Total Observations_pre_2020,Valid Observations (Accuracy)_pre_2020,False Positive Rate_pre_2020,False Negative Rate_pre_2020,Total Observations_post_2020,Valid Observations (Accuracy)_post_2020,False Positive Rate_post_2020,False Negative Rate_post_2020,Observation_Change,Accuracy_Change,False_Positive_Change,False_Negative_Change
Andhra Pradesh,Flowers_Female,4,0.0,0.2,0.0,12,0.75,0.0,0.0,8,0.75,-0.2,0.0
Andhra Pradesh,Flowers_bud,951,0.3597066577856521,0.34023766311586046,0.3000556790984874,32,0.5729166666666666,0.29166666666666663,0.13541666666666666,-919,0.21321000888101455,-0.048570996449193826,-0.16463901243182075
Andhra Pradesh,Flowers_male,4,0.0,0.2,0.0,12,0.75,0.0,0.0,8,0.75,-0.2,0.0
Andhra Pradesh,Flowers_open,944,0.3945418796202175,0.35597746480012155,0.24948065557966098,33,0.5783333333333334,0.28,0.14166666666666666,-911,0.1837914537131159,-0.07597746480012152,-0.10781398891299432
Andhra Pradesh,Fruits_open,5,0.26666666666666666,0.13333333333333333,0.0,13,0.75,0.0,0.0,8,0.48333333333333334,-0.13333333333333333,0.0
Andhra Pradesh,Fruits_ripe,950,0.5083418080850757,0.2690337619393038,0.22262442997562043,33,0.5639880952380952,0.29166666666666663,0.14434523809523808,-917,0.05564628715301956,0.022632904727362846,-0.07827919188038235
Andhra Pradesh,Fruits_unripe,950,0.5371575725436182,0.2271776989025517,0.23566472855383003,31,0.5253623188405797,0.3134057971014492,0.161231884057971,-919,-0.011795253703038466,0.08622809819889751,-0.07443284449585902
Andhra Pradesh,Leaves_fresh,952,0.24447024339779871,0.6349644146862458,0.12056534191595543,37,0.105,0.5549999999999999,0.34,-915,-0.13947024339779873,-0.07996441468624582,0.2194346580840446
Andhra Pradesh,Leaves_mature,953,0.029679658082777238,0.07666173516826166,0.893658606748961,37,0.05,0.315,0.635,-916,0.020320341917222765,0.23833826483173834,-0.258658606748961
Andhra Pradesh,Leaves_old,286,0.3054492244659058,0.09156570090722856,0.00298507462686566,37,0.19,0.7,0.11,-249,-0.11544922446590578,0.6084342990927714,0.10701492537313434
Assam,Flowers_Female,0,0.0,0.0,0.0,27,0.8532608695652174,0.1467391304347826,0.0,27,0.8532608695652174,0.1467391304347826,0.0
